Id,Name,Vorname,Titel,Partei,Wahlkreis,WahlkreisOrderBy
7f7b4dc0-5867-443e-a4d9-15b42f9bdf0a,Abele,Martin,,Grüne,,0
891de33c-c98b-4325-b735-b1a078dbc368,Ackermann,Ruth,,CVP,,0
5326241e-9551-48bd-9322-1363cc38c5a3,Aebi,Hermann,,Parteilos,,0
29fe0193-39b8-4945-9e4a-e1bd7a8b177e,Aeschbach,Christian,,FDP,,0
afb2e0bc-b941-4fa4-8936-9b4978fc1ee1,Akyol,Ezgi,,AL,4 und 5,102
1120806c-4a43-4c41-8ce8-fab680ad1e1d,Albrecht,Patrick,,FDP,,0
e88d6153-1fbb-43d3-8384-d3c868f7f45f,Altinay,Petek,,SP,,0
c7c2067a-454d-49f2-b998-743cbb889e4b,Amacker,Bruno,,SVP,,0
263a54b4-2906-49bb-b7a7-0fa5495825dc,Ammann,Andreas,,,,0
13d1f1a4-91f4-44e5-ba67-75cb1bf57838,Ammann,Jürg,,Grüne,,0
f15f6a61-bca6-4d3e-8109-c9e96950b433,Anderegg,Peter,,EVP,11,107
ee8204f4-9290-49ca-99ae-d18a22a0a513,Angst,Walter,,AL, 3,101
6390901d-2f16-4ec8-88e2-ee8f15d4a24f,Anhorn,Ruth,,SVP,,0
04e3e929-da92-434e-9f6c-ab7cd0a1a3e7,Anken,Walter,,SVP, 6,103
fb965871-ea6b-4c54-8861-af84cb193dcf,Apafi,Lukas,,FDP,,0
8fc43753-529c-48f9-83f0-7a20aa9727bd,Atalay,Fakir,,,,0
a313c51d-742e-45d4-ac36-3cab6f118ae5,Aubert,Marianne,,SP,7 und 8,104
40f5621f-cd63-4650-8f59-0c19f83fdb1f,Avdili,Përparim,,FDP, 9,105
dcffa158-07b6-474d-8361-4fd346c95681,Babini,Mario,Dr. oec.,Parteilos,1 und 2,100
93baa3d3-84f7-4c89-841b-b5ea7f4882a5,Bachmann,Hans,,FDP,,0
201f16ef-b1e0-4498-9b64-5f57aa3719a5,Bachofner,Arnold,,SP,,0
90253036-b704-4841-ba99-9cc89001ae76,Badertscher,Beat,Dr.,FDP,,0
bf3cdcb5-e2dd-44e0-8cf3-f21d1ccb6e0e,Badran,Jacqueline,,SP,,0
57eca09a-60ec-4d2d-bae8-18227dd5bebb,Balmer,Bettina,Dr.,FDP,,0
06529da1-aa11-4539-9472-a87df7f8578a,Balsiger,Samuel,,SVP, 9,105
e8e2dcc3-02f8-4997-9e35-f5e58ff15172,Bär,Hansruedi,,SVP,,0
dd1e8d90-74ab-479f-9779-133dc394282a,Bär,Linda,,SP,,0
effd055a-2476-4462-a308-77c57736ba68,Bär,Thomas,,FDP,,0
92a83413-8ca2-46d7-ab38-8873c2591a2e,Bartal-Abilio,Isabel,Dr.,SP,,0
bd983e30-7d78-4fec-91fb-5bab8e4c647d,Bartholdi,Roger,,SVP, 9,105
bea72c5d-5b6a-4c8e-b913-1c6d75722d77,Bärtschi Hafner,Erika,,FDP,,0
df6b3100-1e90-4850-8bfc-ec2f8f2dd8ec,Barzotto,Myriam,,SP,,0
8eb28350-c0cb-42db-b4bd-b753fd38ff7b,Bätschmann,Monika,,Grüne,10,106
32e89ef8-f5b2-46e5-aafe-7dd15929f00a,Baumann,Markus,,GLP, 9,105
efdddad0-7602-4b11-bc64-f34555bd4aeb,Baumann,Otto,,EVP,,0
e69e0217-4f6e-4b80-a53a-fe2e19118be6,Baumer,Michael,,FDP,,0
5ad2d3b0-db26-4e85-aef7-3f5dce4ea945,Baumgartner Kläy,Brigitte,,Grüne,,0
e0e7fb0c-967d-44a4-aac7-4260afc36259,Baur,Toni,,Grüne,,0
ba439e1f-e568-4b4b-9816-9fa94a2fb3e5,Beer,Duri,,SP, 3,101
