GeschaeftId,Geschaeftsjahr,Geschaeftsnummer,Geschaeftstitel,Geschaeftsart,gruppe,id_1,name_1,vorname_1,partei_1,wahlkreis_1,id_2,name_2,vorname_2,partei_2,wahlkreis_2
675db553-31a1-4b9d-b791-0c8a6ecb6f69,2020,47,Flexibilisierung des Raumangebots und dessen Möblierung bei Neu- und Umbauten von Schulgebäuden und Betreuungseinrichtungen,Postulat,,6786f4ed-9d22-420e-a909-8d732dda6b5c,Zygmont,Dominique,FDP,,54c0ca10-69df-4f6d-add5-f10d52aaebcc,Bourgeois,Yasmine,FDP,
a2b58bba-2fa0-4f1b-b481-1356cd159472,2020,46,Schaffung einer unabhängigen Ombudsstelle im Bereich der familienergänzenden Betreuung,Postulat,Grüne,,,,,,,,,,
0a490335-618d-45dc-8038-59377944d264,2020,45,Unterstützung der Sozialpartner betreffend Aushandlung eines Gesamtarbeitsvertrags für die familienergänzende Kinderbetreuung als Grundlage für die Subventionierungspraxis der Stadt,Postulat,Grüne,,,,,,,,,,
58f00ca4-f4f8-42e6-a5ba-88f36fa0ad97,2020,44,"Massgebliche und generelle Erhöhung der Qualität in den subventionierten Kinderbetreuungseinrichtungen, Änderung der Verordnung über die familienergänzende Kinderbetreuung",Motion,Grüne,,,,,,,,,,
e0151272-b8d7-4cae-a2a3-58952cd5ad3f,2020,43,Deutliche Senkung der Elternbeiträge für die familienergänzende Kinderbetreuung,Motion,Grüne,,,,,,,,,,
1368cafa-77a1-4222-a1df-36b4d6d41d5f,2020,42,"Gendermedizin in den städtischen Gesundheitsinstitutionen, Berücksichtigung einer Studie im Bereich der kardiologischen Gender Medizin hinsichtlich einer Zusammenarbeit mit der Professur am Unispital, der Erwägung einer Präventionskampagne und Schulung des Personals sowie generelle Folgen der Geschlechtersegregation im Alltag der Gesundheitsinstitutionen",Schriftliche Anfrage,,4a1be35e-3f69-48a4-85b1-3fee07b006ae,Garcia Nuñez,David,AL,,afb2e0bc-b941-4fa4-8936-9b4978fc1ee1,Akyol,Ezgi,AL,
64306a21-c7d3-45d6-a694-0d5bb11a35ef,2020,41,"Anti-WEF-Demonstration in Zürich, Gründe für die Erteilung der Bewilligung und für das gewählte Einsatzdispositiv der Polizei trotz der angekündigten Gewalt sowie Bezifferung der entstandenen Kosten und Konsequenzen bezüglich deren Verrechnung",Interpellation,,ce8041b1-19af-4e73-8c30-0b2577592bbd,Iten,Stephan,SVP,,458e62cd-e3eb-42b1-86f1-3135a4ed95a4,Richter,Derek,SVP,
b1355d27-9034-4dea-8beb-3261c39db7b4,2020,40,Verbesserung der Strategie der Stadtpolizei bei bewilligten und unbewilligten Demonstrationen,Postulat,SVP,,,,,,,,,,
09ed57f4-159d-4be7-872f-7b38cafef8c4,2020,39,"Verweigerung der Bewilligung von Kundgebungen mit hohem Gefährdungspotenzial, Anpassung der Benutzungsordnung der Veranstaltungsrichtlinien",Postulat,SVP,,,,,,,,,,
4f160f9e-d0cc-4444-ac4a-c5a7e0a02945,2020,38,Härteres Durchgreifen bei Demonstrationen und Krawallen mit gewalttätigen Eskalationen und Sachbeschädigungen,Postulat,SVP,,,,,,,,,,
